"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-04",101.152,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-05",101.2035,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-06",101.2263,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-07",101.1937,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-08",101.084,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-09",100.9589,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-10",100.9021,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-11",100.9736,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-12",101.0949,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-01",101.1575,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-02",101.0804,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-03",100.9276,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-04",100.7844,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-05",100.7101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-06",100.6811,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-07",100.6645,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-08",100.6479,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-09",100.6555,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-10",100.7358,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-11",100.9244,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-12",101.1348,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-01",101.2409,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-02",101.1381,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-03",100.9081,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-04",100.6425,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-05",100.3927,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-06",100.1565,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-07",99.91422,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-08",99.65295,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-09",99.39534,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-10",99.18157,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-11",99.0472,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-12",98.95737,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-01",98.87435,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-02",98.78065,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-03",98.69525,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-04",98.65456,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-05",98.68523,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-06",98.73204,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-07",98.71918,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-08",98.59515,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-09",98.43747,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-10",98.35973,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-11",98.45219,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-12",98.64251,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-01",98.84121,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-02",98.98922,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-03",99.09707,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-04",99.18451,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-05",99.26033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-06",99.32253,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-07",99.36183,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-08",99.37873,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-09",99.42352,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-10",99.57522,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-11",99.8926,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-12",100.2583,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-01",100.5123,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-02",100.5366,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-03",100.4526,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-04",100.4207,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-05",100.5499,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-06",100.7537,
